Site,Code,SiteID,Date,Visit,Start Time,Precipitation,Beaufort Wind Scale,Background Noise,Cloud Cover,Visit Number,Transect,Tnum,Plot,Pnum,Group,Species,Abundance,Notes,,SiteID,Independent 
Westerhall,WH,WH_T1_P3,04-May-20,7,8:00 AM,,,,,3,1,T1,3,P3,,YBSE,2,,,,
Westerhall,WH,WH_T2_P1,04-May-20,7,8:00 AM,,,,,3,2,T2,1,P1,,SNPI,4,,,,
Westerhall,WH,WH_T2_P1,04-May-20,7,8:00 AM,,,,,3,2,T2,1,P1,,BANA,3,,,,
Westerhall,WH,WH_T2_P1,04-May-20,7,8:00 AM,,,,,3,2,T2,1,P1,,GRAK,2,,,,
Westerhall,WH,WH_T2_P1,04-May-20,7,8:00 AM,,,,,3,2,T2,1,P1,,CAGR,2,,,,
Westerhall,WH,WH_T2_P3,04-May-20,7,8:00 AM,,,,,3,2,T2,3,P3,,BANA,2,,,,
Westerhall,WH,WH_T2_P3,04-May-20,7,8:00 AM,,,,,3,2,T2,3,P3,,HOWR,2,,,,
Westerhall,WH,WH_T2_P3,04-May-20,7,8:00 AM,,,,,3,2,T2,3,P3,,EADO,1,,,,
Westerhall,WH,WH_T2_P3,04-May-20,7,8:00 AM,,,,,3,2,T2,3,P3,,SBAN,1,,,,
Westerhall,WH,WH_T2_P3,04-May-20,7,8:00 AM,,,,,3,2,T2,3,P3,,BWHA,1,,,,
Westerhall,WH,WH_T2_P3,04-May-20,7,8:00 AM,,,,,3,2,T2,3,P3,,TRMO,2,,,,
Westerhall,WH,WH_T3_P1,04-May-20,7,8:00 AM,,,,,3,3,T3,1,P1,,SNPI,11,,,,
Westerhall,WH,WH_T3_P1,04-May-20,7,8:00 AM,,,,,3,3,T3,1,P1,,YCNH,1,,,,
Westerhall,WH,WH_T3_P1,04-May-20,7,8:00 AM,,,,,3,3,T3,1,P1,,CAGR,3,,,,
Westerhall,WH,WH_T3_P1,04-May-20,7,8:00 AM,,,,,3,3,T3,1,P1,,GRHE,1,,,,
Westerhall,WH,WH_T3_P1,04-May-20,7,8:00 AM,,,,,3,3,T3,1,P1,,EADO,1,,,,
Westerhall,WH,WH_T3_P1,04-May-20,7,8:00 AM,,,,,3,3,T3,1,P1,,BANA,4,,,,
Westerhall,WH,WH_T3_P3,31-Mar-20,3,8:00 AM,,,,,2,3,T3,3,P3,,BANA,3,,,,
Westerhall,WH,WH_T3_P3,31-Mar-20,3,8:00 AM,,,,,2,3,T3,3,P3,,LBHE,2,,,,
Westerhall,WH,WH_T3_P3,31-Mar-20,3,8:00 AM,,,,,2,3,T3,3,P3,,HOWR,2,,,,
Westerhall,WH,WH_T3_P3,31-Mar-20,3,8:00 AM,,,,,2,3,T3,3,P3,,MACU,1,,,,
Westerhall,WH,WH_T3_P3,31-Mar-20,3,8:00 AM,,,,,2,3,T3,3,P3,,TRMO,2,,,,
Westerhall,WH,WH_T3_P3,31-Mar-20,3,8:00 AM,,,,,2,3,T3,3,P3,,ANCH,1,,,,
Westerhall,WH,WH_T4_P1,04-May-20,7,8:00 AM,,,,,3,4,T4,1,P1,,LBHE,2,,,,
Westerhall,WH,WH_T4_P1,04-May-20,7,8:00 AM,,,,,3,4,T4,1,P1,,SNPI,5,,,,
Westerhall,WH,WH_T4_P1,04-May-20,7,8:00 AM,,,,,3,4,T4,1,P1,,SHCO,1,,,,
Westerhall,WH,WH_T4_P1,04-May-20,7,8:00 AM,,,,,3,4,T4,1,P1,,BWHA,1,,,,
Westerhall,WH,WH_T4_P1,04-May-20,7,8:00 AM,,,,,3,4,T4,1,P1,,BANA,4,,,,
Westerhall,WH,WH_T4_P1,04-May-20,7,8:00 AM,,,,,3,4,T4,1,P1,,EADO,2,,,,
Westerhall,WH,WH_T4_P1,04-May-20,7,8:00 AM,,,,,3,4,T4,1,P1,,GRAK,1,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,TRMO,1,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,BANA,2,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,HOWR,1,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,ANCH,2,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,GFLY,1,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,LBHE,1,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,TRMO,1,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,BANA,2,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,HOWR,1,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,ANCH,2,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,GFLY,1,,,,
Westerhall,WH,WH_T4_P3,31-Mar-20,3,8:00 AM,,,,,2,4,T4,3,P3,,LBHE,1,,,,
,,,,,,,,,,2,2,T2,3,P3,,YBSE,2,,,,
,,,,,,,,,,,,T,,P,,BANA,1,,,,
,,,,,,,,,,,,T,,P,,HOWR,2,,,,
,,,,,,,,,,,,T,,P,,TRMO,2,,,,
,,,,,,,,,,,,T,,P,,LANB,3,,,,
